                         
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     113    0.66188E-002   0.18139E-001   0.18234E-004   0.39509E-002  -0.42605E-005   0.64895E-005
     114    0.71410E-002   0.20549E-001   0.12950E-004   0.44149E-002  -0.71661E-005   0.11186E-004
     115    0.79512E-002   0.24365E-001   0.80785E-004   0.48058E-002  -0.23349E-004   0.30524E-004
     116    0.88708E-002   0.30750E-001  -0.29379E-003   0.48187E-002  -0.58734E-004   0.43910E-004
     117    0.82170E-002   0.43104E-001  -0.22584E-003   0.56732E-003  -0.41529E-003   0.23830E-003
     118    0.61897E-002   0.13585E-001  -0.26327E-005   0.43546E-003  -0.72922E-006   0.12874E-006
     119    0.61451E-002   0.13613E-001   0.72033E-006   0.87056E-003  -0.11364E-005   0.41796E-006
     120    0.61035E-002   0.13755E-001   0.14622E-005   0.13098E-002  -0.10664E-005   0.55559E-006
     121    0.60742E-002   0.14022E-001   0.27698E-005   0.17564E-002  -0.12239E-005   0.80128E-006
     122    0.60664E-002   0.14435E-001   0.39800E-005   0.22138E-002  -0.13895E-005   0.11192E-005
     123    0.60918E-002   0.15027E-001   0.54996E-005   0.26859E-002  -0.17061E-005   0.15884E-005
     124    0.61640E-002   0.15853E-001   0.74944E-005   0.31747E-002  -0.22340E-005   0.23516E-005
     125    0.63004E-002   0.17006E-001   0.87217E-005   0.36795E-002  -0.31383E-005   0.35743E-005
     126    0.65206E-002   0.18652E-001   0.14439E-004   0.41924E-002  -0.53536E-005   0.62926E-005
     127    0.68488E-002   0.21088E-001   0.43146E-005   0.46881E-002  -0.91832E-005   0.10649E-004
     128    0.72777E-002   0.24920E-001   0.42925E-004   0.50677E-002  -0.31391E-004   0.28439E-004
     129    0.75349E-002   0.31224E-001  -0.31036E-003   0.47365E-002  -0.52552E-004   0.35931E-004
     130    0.72217E-002   0.41799E-001  -0.15989E-003  -0.97731E-003  -0.40106E-003   0.22901E-003
     131    0.62917E-002   0.14114E-001  -0.54278E-005   0.42674E-003  -0.72493E-006   0.15406E-006
     132    0.62561E-002   0.14118E-001  -0.30253E-005   0.86238E-003  -0.11663E-005   0.43921E-006
     133    0.62071E-002   0.14240E-001  -0.16777E-005   0.13073E-002  -0.11230E-005   0.55454E-006
     134    0.61542E-002   0.14494E-001  -0.25341E-006   0.17627E-002  -0.12749E-005   0.78556E-006
     135    0.61068E-002   0.14899E-001   0.12941E-005   0.22318E-002  -0.15060E-005   0.11186E-005
     136    0.60740E-002   0.15488E-001   0.26516E-005   0.27168E-002  -0.18095E-005   0.15983E-005
     137    0.60677E-002   0.16317E-001   0.43452E-005   0.32186E-002  -0.24108E-005   0.23569E-005
     138    0.60971E-002   0.17475E-001   0.44078E-005   0.37310E-002  -0.33538E-005   0.35639E-005
     139    0.61661E-002   0.19126E-001   0.64498E-005   0.42347E-002  -0.59022E-005   0.61740E-005
     140    0.62546E-002   0.21562E-001  -0.10079E-004   0.46793E-002  -0.99320E-005   0.10024E-004
     141    0.62743E-002   0.25360E-001   0.65001E-005   0.48913E-002  -0.33017E-004   0.26721E-004
     142    0.59798E-002   0.31387E-001  -0.30162E-003   0.40598E-002  -0.46173E-004   0.29514E-004
     143    0.62087E-002   0.39831E-001  -0.10830E-003  -0.25686E-002  -0.37883E-003   0.21801E-003
     144    0.62846E-002   0.14613E-001  -0.50027E-005   0.40089E-003  -0.71400E-006   0.17072E-006
     145    0.62586E-002   0.14596E-001  -0.41127E-005   0.82024E-003  -0.11190E-005   0.47304E-006
     146    0.62064E-002   0.14698E-001  -0.22153E-005   0.12567E-002  -0.10777E-005   0.54370E-006
     147    0.61333E-002   0.14931E-001  -0.15085E-005   0.17053E-002  -0.12762E-005   0.76596E-006
     148    0.60458E-002   0.15325E-001  -0.14169E-006   0.21681E-002  -0.14912E-005   0.10486E-005
     149    0.59527E-002   0.15906E-001   0.16005E-005   0.26478E-002  -0.18983E-005   0.15474E-005
     150    0.58608E-002   0.16729E-001   0.26491E-005   0.31406E-002  -0.23960E-005   0.22721E-005
     151    0.57784E-002   0.17878E-001   0.21646E-005   0.36348E-002  -0.33884E-005   0.34096E-005
     152    0.56961E-002   0.19505E-001   0.43516E-006   0.40924E-002  -0.58180E-005   0.58275E-005
     153    0.55663E-002   0.21887E-001  -0.20823E-004   0.44257E-002  -0.95239E-005   0.91254E-005
     154    0.52499E-002   0.25549E-001  -0.22765E-004   0.43800E-002  -0.31734E-004   0.24859E-004
     155    0.45687E-002   0.31141E-001  -0.27782E-003   0.30151E-002  -0.39886E-004   0.25238E-004
     156    0.53763E-002   0.37510E-001  -0.62298E-004  -0.40465E-002  -0.35836E-003   0.21324E-003
     157    0.62117E-002   0.15067E-001  -0.58459E-005   0.36241E-003  -0.70082E-006   0.24068E-006
     158    0.61966E-002   0.15032E-001  -0.64247E-005   0.75300E-003  -0.10101E-005   0.42930E-006
     159    0.61431E-002   0.15112E-001  -0.44971E-005   0.11666E-002  -0.10542E-005   0.58206E-006
     160    0.60583E-002   0.15326E-001  -0.32109E-005   0.15988E-002  -0.11391E-005   0.71398E-006
     161    0.59409E-002   0.15691E-001  -0.36001E-005   0.20404E-002  -0.14633E-005   0.99944E-006
     162    0.57925E-002   0.16259E-001  -0.17810E-005   0.24950E-002  -0.18551E-005   0.14529E-005
     163    0.56231E-002   0.17066E-001   0.87835E-006   0.29638E-002  -0.25029E-005   0.23022E-005
     164    0.54353E-002   0.18189E-001  -0.57096E-006   0.34223E-002  -0.31049E-005   0.33299E-005
     165    0.52266E-002   0.19763E-001  -0.37534E-005   0.38185E-002  -0.54609E-005   0.56496E-005
     166    0.49354E-002   0.22034E-001  -0.28153E-004   0.40208E-002  -0.82374E-005   0.84776E-005
     167    0.44071E-002   0.25465E-001  -0.45216E-004   0.37023E-002  -0.28351E-004   0.22989E-004
     168    0.35141E-002   0.30514E-001  -0.25204E-003   0.18563E-002  -0.34477E-004   0.21759E-004
     169    0.47995E-002   0.35091E-001  -0.16747E-004  -0.53095E-002  -0.33892E-003   0.20846E-003
     170    0.61064E-002   0.15470E-001  -0.49136E-005   0.31796E-003  -0.66085E-006   0.24913E-006
     171    0.61010E-002   0.15421E-001  -0.64831E-005   0.67064E-003  -0.86969E-006   0.41506E-006
     172    0.60522E-002   0.15479E-001  -0.50507E-005   0.10532E-002  -0.95128E-006   0.47266E-006
     173    0.59579E-002   0.15666E-001  -0.40293E-005   0.14555E-002  -0.11356E-005   0.79564E-006
     174    0.58264E-002   0.16007E-001  -0.29388E-005   0.18745E-002  -0.11420E-005   0.88223E-006
     175    0.56423E-002   0.16526E-001  -0.59697E-005   0.22891E-002  -0.18278E-005   0.13501E-005
