
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =8788
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       0.812   TIME= 15:24:37
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   15:24:37  FEB 18, 2018 CP=      0.812

 Simple Cube--Static Structural (A5)                                           


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     204   -0.23970E-002  -0.40422E+000  -0.11222E-002   0.20563E-002  -0.49545E-002   0.14728E-002
     205    0.68727E-003  -0.40249E+000   0.12632E-003   0.30462E-002  -0.52155E-002   0.10638E-002
     206    0.21587E-002  -0.40131E+000   0.77853E-003   0.32072E-002  -0.47384E-002   0.68820E-003
     207    0.28822E-002  -0.40055E+000   0.11849E-002   0.29040E-002  -0.39049E-002   0.36814E-003
     208    0.34584E-002  -0.40015E+000   0.15898E-002   0.23072E-002  -0.28607E-002   0.10114E-003
     209    0.43227E-002  -0.40000E+000   0.20652E-002   0.13758E-002  -0.15883E-002  -0.12997E-003
     210   -0.10030E+000  -0.38642E+000  -0.88209E-001  -0.35365E-001   0.50619E-001   0.12761E-002
     211   -0.54729E-001  -0.40688E+000  -0.35680E-001  -0.25719E-001   0.30721E-001   0.24054E-002
     212   -0.28167E-001  -0.41352E+000  -0.16926E-001  -0.13810E-001   0.11819E-001   0.30355E-002
     213   -0.13350E-001  -0.40902E+000  -0.79299E-002  -0.45132E-002   0.17499E-002   0.30191E-002
     214   -0.53384E-002  -0.40419E+000  -0.33222E-002   0.78573E-003  -0.28286E-002   0.25739E-002
     215   -0.11899E-002  -0.40114E+000  -0.91578E-003   0.33165E-002  -0.45616E-002   0.19735E-002
     216    0.84484E-003  -0.39959E+000   0.29835E-003   0.41950E-002  -0.48548E-002   0.13830E-002
     217    0.17683E-002  -0.39900E+000   0.89602E-003   0.41587E-002  -0.44433E-002   0.87069E-003
     218    0.22199E-002  -0.39896E+000   0.12426E-002   0.36308E-002  -0.36791E-002   0.45133E-003
     219    0.26088E-002  -0.39924E+000   0.15818E-002   0.28015E-002  -0.26991E-002   0.11095E-003
     220    0.31361E-002  -0.39963E+000   0.19748E-002   0.16357E-002  -0.14962E-002  -0.18302E-003
     221   -0.87096E-001  -0.39286E+000  -0.87096E-001  -0.49606E-001   0.49606E-001   0.15728E-002
     222   -0.32913E-001  -0.41242E+000  -0.32913E-001  -0.29956E-001   0.29956E-001   0.30578E-002
     223   -0.16654E-001  -0.41530E+000  -0.16654E-001  -0.11653E-001   0.11653E-001   0.37629E-002
     224   -0.70926E-002  -0.40455E+000  -0.70926E-002  -0.20590E-002   0.20590E-002   0.35067E-002
     225   -0.25953E-002  -0.39840E+000  -0.25953E-002   0.23549E-002  -0.23549E-002   0.28129E-002
     226   -0.32180E-003  -0.39569E+000  -0.32180E-003   0.41074E-002  -0.41074E-002   0.20615E-002
     227    0.71583E-003  -0.39520E+000   0.71583E-003   0.44882E-002  -0.44882E-002   0.13913E-002
