
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =3784
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       1.234   TIME= 12:47:16
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R2          19.4     ***
 DISTRIBUTED ANSYS Mechanical Enterprise                       

 00348435  VERSION=WINDOWS x64   12:47:16  AUG 04, 2019 CP=      1.234

 first try--Static Structural (B5)                                             


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     111    0.49946E-002   0.20252E-002   0.79158E-003   0.43173E-018   0.26470E-018   0.15480E-002
     112    0.48144E-002   0.18192E-002   0.38340E-003   0.48217E-018  -0.15107E-017   0.91542E-003
     113    0.41072E-002   0.14861E-002   0.13889E-003  -0.11313E-017   0.25785E-017   0.59894E-003
     114    0.35629E-002   0.12587E-002   0.33348E-004  -0.18174E-017  -0.24028E-017   0.47983E-003
     115    0.31027E-002   0.10719E-002  -0.40027E-004  -0.12806E-018  -0.70583E-018   0.46807E-003
     116    0.26394E-002   0.90194E-003  -0.62434E-004   0.39828E-017   0.32073E-017   0.51086E-003
     117    0.22206E-002   0.76137E-003  -0.45216E-004   0.56809E-017  -0.76324E-018   0.57294E-003
     118    0.27562E-002   0.10945E-002   0.37093E-003   0.46858E-018   0.71315E-018   0.11782E-002
     119    0.42294E-002   0.16992E-002   0.62547E-003  -0.47657E-017   0.50420E-017   0.16362E-002
     120    0.59744E-002   0.19937E-002  -0.27809E-003  -0.79918E-017   0.24869E-017   0.11797E-002
     121    0.80849E-002   0.35806E-002   0.21455E-002  -0.52244E-017   0.19417E-017  -0.13861E-002
     122    0.49896E-002   0.20208E-002   0.78404E-003  -0.34296E-018  -0.13929E-018  -0.15394E-002
     123    0.45290E-002   0.21616E-002   0.16470E-002  -0.20494E-020  -0.11232E-017  -0.16456E-002
     124    0.45657E-002   0.22207E-002   0.17792E-002  -0.12143E-017   0.47845E-018  -0.14539E-002
     125    0.47043E-002   0.22973E-002   0.18594E-002  -0.57040E-018  -0.97244E-019  -0.12472E-002
     126    0.48634E-002   0.23800E-002   0.19367E-002  -0.62518E-018   0.60269E-018  -0.10263E-002
     127    0.50000E-002   0.24553E-002   0.20152E-002  -0.97738E-018   0.50791E-018  -0.80679E-003
     128    0.51016E-002   0.25155E-002   0.20855E-002  -0.38014E-018   0.21033E-018  -0.59271E-003
     129    0.51666E-002   0.25577E-002   0.21412E-002  -0.51879E-018   0.79042E-019  -0.38773E-003
     130    0.52029E-002   0.25830E-002   0.21771E-002  -0.72919E-018   0.59791E-019  -0.19121E-003
     131    0.52140E-002   0.25912E-002   0.21894E-002  -0.77655E-018  -0.18173E-018   0.53798E-006
     132    0.52021E-002   0.25827E-002   0.21770E-002  -0.67140E-018  -0.21767E-018   0.19209E-003
     133    0.51660E-002   0.25576E-002   0.21414E-002  -0.40214E-018  -0.34809E-018   0.38848E-003
     134    0.50997E-002   0.25148E-002   0.20854E-002  -0.12591E-017  -0.60793E-018   0.59320E-003
     135    0.49984E-002   0.24547E-002   0.20150E-002  -0.10834E-017  -0.10106E-017   0.80704E-003
     136    0.48620E-002   0.23800E-002   0.19382E-002  -0.10379E-017  -0.82662E-018   0.10274E-002
     137    0.46987E-002   0.22972E-002   0.18647E-002  -0.15900E-018  -0.33906E-018   0.12480E-002
     138    0.45633E-002   0.22229E-002   0.17877E-002  -0.38828E-018   0.83964E-018   0.14536E-002
     139    0.45281E-002   0.21656E-002   0.16594E-002  -0.47516E-018   0.98438E-018   0.16468E-002
     140    0.48037E-002   0.18142E-002   0.37964E-003  -0.68687E-018   0.85321E-018  -0.91349E-003
     141    0.40994E-002   0.14826E-002   0.13654E-003  -0.11871E-018   0.92363E-018  -0.59784E-003
     142    0.35582E-002   0.12564E-002   0.31550E-004   0.50136E-019   0.39335E-017  -0.47908E-003
     143    0.30912E-002   0.10701E-002  -0.33741E-004  -0.22619E-017   0.70846E-017  -0.46544E-003
     144    0.26545E-002   0.90703E-003  -0.63025E-004  -0.31100E-017   0.33291E-017  -0.50545E-003
     145    0.22655E-002   0.77356E-003  -0.55382E-004  -0.25052E-017   0.27480E-017  -0.57696E-003
