    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
     116  -0.25459E+002   0.79215E+001  -0.83532E+001  -0.35527E+001   0.16776E+001   0.49523E+001
     117  -0.25037E+002   0.68468E+001  -0.10920E+002  -0.29489E+001   0.19429E+001   0.51868E+001
     118  -0.24616E+002   0.57722E+001  -0.13487E+002  -0.23450E+001  -0.20014E-010  -0.59733E-010
     119  -0.25037E+002   0.68468E+001  -0.10920E+002  -0.29489E+001  -0.19429E+001  -0.51868E+001
     120  -0.25459E+002   0.79215E+001  -0.83532E+001  -0.35527E+001  -0.16776E+001  -0.49523E+001
     121  -0.23804E+002   0.50870E+001  -0.95554E+001  -0.37081E+001   0.30709E+001   0.54900E+001
     122  -0.23038E+002   0.47759E+001  -0.12268E+002  -0.35163E+001   0.27917E+001   0.57786E+001
     123  -0.22271E+002   0.44648E+001  -0.14981E+002  -0.33245E+001  -0.44484E-010  -0.10095E-009
     124  -0.23038E+002   0.47759E+001  -0.12268E+002  -0.35163E+001  -0.27917E+001  -0.57786E+001
     125  -0.23804E+002   0.50870E+001  -0.95554E+001  -0.37081E+001  -0.30709E+001  -0.54900E+001
     126  -0.28682E+002   0.90719E+001  -0.10231E+002   0.28853E+001   0.16099E+001   0.39716E+001
     127  -0.29837E+002   0.86467E+001  -0.13398E+002   0.20495E+001   0.44206E+000   0.35051E+001
     128  -0.30993E+002   0.82215E+001  -0.16564E+002   0.12136E+001  -0.16590E-010  -0.29091E-009
     129  -0.29837E+002   0.86467E+001  -0.13398E+002   0.20495E+001  -0.44206E+000  -0.35051E+001
     130  -0.28682E+002   0.90719E+001  -0.10231E+002   0.28853E+001  -0.16099E+001  -0.39716E+001
     131  -0.28682E+002   0.90719E+001  -0.10231E+002  -0.28853E+001  -0.16099E+001   0.39716E+001
     132  -0.29837E+002   0.86467E+001  -0.13398E+002  -0.20495E+001  -0.44206E+000   0.35051E+001
     133  -0.30993E+002   0.82215E+001  -0.16564E+002  -0.12136E+001   0.25012E-011   0.24846E-009
     134  -0.29837E+002   0.86467E+001  -0.13398E+002  -0.20495E+001   0.44206E+000  -0.35051E+001
     135  -0.28682E+002   0.90719E+001  -0.10231E+002  -0.28853E+001   0.16099E+001  -0.39716E+001
     136  -0.78518E+002   0.14496E+002  -0.75113E+001   0.29928E+001   0.29239E+000   0.22723E+001
     137  -0.74719E+002   0.14958E+002  -0.11020E+002   0.30095E+001  -0.44039E-001   0.13579E+001
     138  -0.70919E+002   0.15419E+002  -0.14529E+002   0.30261E+001   0.16740E-010  -0.19798E-009
     139  -0.74719E+002   0.14958E+002  -0.11020E+002   0.30095E+001   0.44039E-001  -0.13579E+001
     140  -0.78518E+002   0.14496E+002  -0.75113E+001   0.29928E+001  -0.29239E+000  -0.22723E+001
     141  -0.78518E+002   0.14496E+002  -0.75113E+001  -0.29928E+001  -0.29239E+000   0.22723E+001
