    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
     116   0.46188E+002  -0.60481E+001   0.43262E+001   0.86469E+001  -0.45339E+001   0.12392E+001
     117   0.48703E+002  -0.66861E+001   0.59734E+001   0.94246E+001  -0.16891E+001  -0.13084E+001
     118   0.51218E+002  -0.73242E+001   0.76206E+001   0.10202E+002  -0.15251E-009  -0.35181E-009
     119   0.48703E+002  -0.66861E+001   0.59734E+001   0.94246E+001   0.16891E+001   0.13084E+001
     120   0.46188E+002  -0.60481E+001   0.43262E+001   0.86469E+001   0.45339E+001  -0.12392E+001
     121   0.55239E+002  -0.38155E+001   0.47445E+001   0.72377E+001  -0.50245E+001   0.28572E+001
     122   0.57133E+002  -0.57715E+001   0.75194E+001   0.80013E+001  -0.95473E+000  -0.11272E+000
     123   0.59027E+002  -0.77276E+001   0.10294E+002   0.87650E+001  -0.19236E-009  -0.84460E-010
     124   0.57133E+002  -0.57715E+001   0.75194E+001   0.80013E+001   0.95473E+000   0.11272E+000
     125   0.55239E+002  -0.38155E+001   0.47445E+001   0.72377E+001   0.50245E+001  -0.28572E+001
     126   0.25713E+002  -0.13388E+002   0.10291E+001  -0.10563E+002  -0.15816E+001  -0.36116E+000
     127   0.29910E+002  -0.12110E+002   0.35022E+001  -0.92413E+001  -0.14749E+001  -0.21335E+001
     128   0.34107E+002  -0.10833E+002   0.59753E+001  -0.79198E+001  -0.69326E-010  -0.51032E-010
     129   0.29910E+002  -0.12110E+002   0.35022E+001  -0.92413E+001   0.14749E+001   0.21335E+001
     130   0.25713E+002  -0.13388E+002   0.10291E+001  -0.10563E+002   0.15816E+001   0.36116E+000
     131   0.25713E+002  -0.13388E+002   0.10291E+001   0.10563E+002   0.15816E+001  -0.36116E+000
     132   0.29910E+002  -0.12110E+002   0.35022E+001   0.92413E+001   0.14749E+001  -0.21335E+001
     133   0.34107E+002  -0.10833E+002   0.59753E+001   0.79198E+001   0.55613E-010  -0.94053E-010
     134   0.29910E+002  -0.12110E+002   0.35022E+001   0.92413E+001  -0.14749E+001   0.21335E+001
     135   0.25713E+002  -0.13388E+002   0.10291E+001   0.10563E+002  -0.15816E+001   0.36116E+000
     136   0.31669E+002  -0.32619E+001   0.17004E+001  -0.81926E+001  -0.72237E+000  -0.65844E+001
     137   0.32930E+002  -0.28442E+001   0.44904E+001  -0.69164E+001  -0.13438E+000  -0.44108E+001
     138   0.34190E+002  -0.24266E+001   0.72804E+001  -0.56402E+001   0.12638E-009  -0.45099E-009
     139   0.32930E+002  -0.28442E+001   0.44904E+001  -0.69164E+001   0.13438E+000   0.44108E+001
     140   0.31669E+002  -0.32619E+001   0.17004E+001  -0.81926E+001   0.72237E+000   0.65844E+001
     141   0.31669E+002  -0.32619E+001   0.17004E+001   0.81926E+001   0.72237E+000  -0.65844E+001
     142   0.32930E+002  -0.28442E+001   0.44904E+001   0.69164E+001   0.13438E+000  -0.44108E+001
     143   0.34190E+002  -0.24266E+001   0.72804E+001   0.56402E+001  -0.14561E-009  -0.33163E-009
     144   0.32930E+002  -0.28442E+001   0.44904E+001   0.69164E+001  -0.13438E+000   0.44108E+001
     145   0.31669E+002  -0.32619E+001   0.17004E+001   0.81926E+001  -0.72237E+000   0.65844E+001
     146   0.35722E+002  -0.25521E+001   0.36787E+001  -0.43247E+000   0.32376E+001  -0.27958E+000
     147   0.35966E+002  -0.48230E+001   0.51388E+001  -0.11641E+001   0.17520E+001  -0.20627E+001
     148   0.36211E+002  -0.70938E+001   0.65989E+001  -0.18957E+001   0.20870E-009  -0.27455E-009
     149   0.35966E+002  -0.48230E+001   0.51388E+001  -0.11641E+001  -0.17520E+001   0.20627E+001
     150   0.35722E+002  -0.25521E+001   0.36787E+001  -0.43247E+000  -0.32376E+001   0.27958E+000
     151   0.35203E+002  -0.57193E+001   0.24414E+001  -0.42559E+001   0.30673E+001  -0.25740E+001
     152   0.35635E+002  -0.64310E+001   0.40985E+001  -0.53365E+001   0.21797E+001  -0.32681E+001
     153   0.36068E+002  -0.71426E+001   0.57556E+001  -0.64170E+001   0.22856E-009  -0.18881E-009
     154   0.35635E+002  -0.64310E+001   0.40985E+001  -0.53365E+001  -0.21797E+001   0.32681E+001
     155   0.35203E+002  -0.57193E+001   0.24414E+001  -0.42559E+001  -0.30673E+001   0.25740E+001
     156   0.34878E+002  -0.81100E+001   0.10353E+001  -0.94327E+001   0.12947E+001  -0.63492E+001
     157   0.35584E+002  -0.70214E+001   0.31107E+001  -0.98371E+001   0.14957E+001  -0.49134E+001
     158   0.36289E+002  -0.59328E+001   0.51861E+001  -0.10241E+002   0.24533E-009  -0.19120E-009
     159   0.35584E+002  -0.70214E+001   0.31107E+001  -0.98371E+001  -0.14957E+001   0.49134E+001
