

    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
      85  -0.10000E+003  -0.94469E-002  -0.46468E-003   0.82072E-003  -0.22729E-004   0.33153E-004
      86  -0.99999E+002  -0.15058E-002   0.40375E-003  -0.71980E-003   0.18231E-003  -0.47537E-003
      87  -0.99999E+002  -0.16927E-002   0.32078E-003  -0.57001E-003   0.16770E-003  -0.41254E-003
      88  -0.99998E+002  -0.18795E-002   0.23782E-003  -0.42021E-003   0.11277E-012   0.76365E-012
      89  -0.99999E+002  -0.16927E-002   0.32078E-003  -0.57001E-003  -0.16770E-003   0.41254E-003
      90  -0.99999E+002  -0.15058E-002   0.40375E-003  -0.71980E-003  -0.18231E-003   0.47537E-003
      91  -0.10002E+003  -0.35155E-002   0.42411E-002  -0.10580E-001  -0.67656E-003  -0.16124E-003
      92  -0.10001E+003  -0.34703E-002   0.51432E-002  -0.98759E-002  -0.57408E-003  -0.10150E-003
      93  -0.10001E+003  -0.34250E-002   0.60452E-002  -0.91720E-002  -0.72755E-014  -0.89144E-012
      94  -0.10001E+003  -0.34703E-002   0.51432E-002  -0.98759E-002   0.57408E-003   0.10150E-003
      95  -0.10002E+003  -0.35155E-002   0.42411E-002  -0.10580E-001   0.67656E-003   0.16124E-003
      96  -0.10001E+003  -0.12390E-001   0.27725E-002  -0.18567E-001  -0.89099E-003  -0.30914E-003
      97  -0.10001E+003  -0.12339E-001   0.31436E-002  -0.17548E-001  -0.73779E-003  -0.24113E-003
      98  -0.10001E+003  -0.12287E-001   0.35147E-002  -0.16528E-001   0.35004E-013  -0.81622E-012
      99  -0.10001E+003  -0.12339E-001   0.31436E-002  -0.17548E-001   0.73779E-003   0.24113E-003
     100  -0.10001E+003  -0.12390E-001   0.27725E-002  -0.18567E-001   0.89099E-003   0.30914E-003
     101  -0.10000E+003  -0.34255E-001  -0.37055E-003  -0.26673E-001  -0.74621E-003  -0.34045E-003
     102  -0.10000E+003  -0.34030E-001  -0.55474E-003  -0.25467E-001  -0.63984E-003  -0.28780E-003
     103  -0.10000E+003  -0.33806E-001  -0.73892E-003  -0.24261E-001   0.23144E-013  -0.61906E-012
